object_name,f_star,log10_Sigma_b,hi_compactness_proxy,m50_primary_score,quality_quarantine_flag
xGASS_xCOLD:GASS113057,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS114078,0.25,8.2,0.1666666666666666,0.16506346889744625,False
xGASS_xCOLD:GASS114000,0.25,8.2,0.1666666666666666,0.16506346889744625,False
THINGS:NGC2841,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:DDO161,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:12700-12701,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:9091-6103,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:GASS102001,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:UGC07125,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8611-6104,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:GASS108119,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8139-3703,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8617-12705,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8619-12704,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:9894-9102,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8619-12705,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8982-12702,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8655-12703,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8977-12704,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:11824-12702,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:10498-12701,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:GASS110082,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:GASS122005,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:11751-12702,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:9001-12704,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:11941-9101,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8553-12703,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:10838-6103,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:8598-12704,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:11022-12702,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:GASS112113,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:GASS109080,0.5,8.2,0.1666666666666666,0.7591372703912951,False
THINGS:NGC5055,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:GASS101026,0.5,8.2,0.1666666666666666,0.7591372703912951,False
M17_analog_synthesis:GASS111054,0.5,8.2,0.1666666666666666,0.7591372703912951,False
THINGS:NGC6946,0.5,8.2,0.1666666666666666,0.7591372703912951,False
THINGS:NGC3521,0.5,8.2,0.1666666666666666,0.7591372703912951,False
THINGS:NGC7331,0.5,8.2,0.1666666666666666,0.7591372703912951,False
THINGS:NGC2403,0.5,8.2,0.1666666666666666,0.7591372703912951,False
THINGS:NGC2903,0.5,8.2,0.1666666666666666,0.7591372703912951,False
THINGS:NGC3198,0.5,8.2,0.1666666666666666,0.7591372703912951,False
